City,State,White,Native American,Hispanic,Black,Asian/Pacific Islander
Phillipsburg,KS,97.90,0.00,4.50,0.80,0.20
Pittsburg,KS,87.40,0.70,7.50,4.00,3.00
Pratt,KS,97.30,1.00,7.50,0.10,0.10
Rose Hill,KS,96.50,0.10,2.30,0.80,0.80
Russell,KS,93.60,0.50,3.80,2.10,1.30
Sabetha,KS,96.90,1.00,3.90,0.70,0.00
St. Marys,KS,92.50,0.00,7.70,0.90,0.00
Salina,KS,86.00,0.30,12.20,3.40,2.80
Scott City,KS,95.20,0.10,24.00,0.00,0.00
Spring Hill,KS,95.80,1.70,9.40,0.60,0.60
Tonganoxie,KS,97.00,0.10,3.80,1.40,1.00
Topeka,KS,80.60,0.80,13.30,9.20,1.50
Ulysses,KS,81.50,0.00,54.00,0.00,0.00
Wamego,KS,95.50,1.80,4.40,0.00,1.80
Wellington,KS,90.70,1.50,8.80,1.70,0.30
Wichita,KS,78.10,0.90,14.70,9.50,4.60
Winfield,KS,84.40,1.70,8.10,3.60,4.20
Barbourville,KY,90.20,0.50,3.30,5.10,0.80
Bardstown,KY,84.90,0.00,4.00,10.40,0.00
Beaver Dam,KY,92.40,0.00,8.60,6.70,0.00
Benton,KY,98.70,0.00,0.00,1.20,0.00
Berea,KY,91.80,0.10,3.70,3.70,0.70
Bowling Green,KY,76.60,0.30,6.20,12.20,4.70
Cadiz,KY,78.20,0.00,1.90,17.80,1.80
Campbellsville,KY,86.80,0.00,4.00,6.80,2.00
Carrollton,KY,86.60,0.00,9.20,3.80,0.10
Central City--Greenville,KY,88.80,0.10,1.00,10.70,0.10
Columbia,KY,86.90,0.00,1.90,11.30,0.40
Crittenden,KY,91.90,0.00,1.30,1.20,0.00
Cumberland,KY,95.50,0.00,0.40,2.50,0.10
Cynthiana,KY,90.20,0.00,2.40,4.60,0.00
Danville,KY,85.70,0.10,4.60,8.80,1.00
Elizabethtown--Radcliff,KY,71.30,0.50,7.60,16.80,3.10
Evarts,KY,94.00,0.50,1.70,3.20,0.00
Flemingsburg,KY,84.70,0.00,5.20,8.50,0.00
Frankfort,KY,78.70,0.20,3.50,13.60,1.50
Franklin,KY,79.10,0.90,2.60,15.20,1.30
Fulton,KY,66.10,0.70,1.40,27.30,0.30
Georgetown,KY,85.90,0.10,3.80,6.50,1.30
Glasgow,KY,87.00,0.60,5.40,7.60,0.30
Grayson,KY,94.10,0.90,2.80,3.50,0.10
Harlan,KY,93.30,0.10,2.10,3.40,1.20
Harrodsburg,KY,88.60,0.30,2.20,8.60,1.20
Hazard,KY,93.70,0.00,0.00,1.10,3.30
Hodgenville,KY,81.60,0.00,8.80,10.70,0.00
Hopkinsville,KY,63.90,0.50,4.40,30.60,0.80
Horse Cave,KY,84.30,0.10,2.90,12.20,2.10
Irvine,KY,96.00,1.60,0.50,0.40,0.10
Jackson,KY,97.10,0.30,0.00,0.30,0.90
Lancaster,KY,90.40,0.00,0.70,4.00,0.60
Lawrenceburg,KY,95.30,0.00,1.10,2.70,0.70
Lebanon,KY,73.90,0.00,6.20,22.20,0.00
Leitchfield,KY,91.00,1.50,2.90,4.50,0.00
Lexington-Fayette,KY,75.30,0.30,7.00,14.70,3.70
London--Corbin,KY,97.20,0.70,1.00,0.60,0.50
Louisa,KY,96.90,0.10,1.40,0.50,1.50
Louisville/Jefferson County,KY,76.40,0.20,4.80,17.50,2.30
Madisonville,KY,83.90,0.60,3.00,10.20,0.70
Manchester,KY,74.60,0.70,7.10,18.10,0.00
Marion,KY,94.10,0.00,0.30,4.60,0.00
Mayfield,KY,81.40,0.00,12.20,12.70,0.60
Maysville,KY,88.00,0.00,1.20,7.60,0.90
Middlesborough,KY,91.90,0.20,1.00,5.40,1.10
Monticello,KY,93.60,0.00,7.20,3.20,0.00
Morehead,KY,93.70,0.30,3.70,3.00,1.60
Morganfield,KY,63.90,0.10,3.00,29.70,0.30
Mount Sterling,KY,89.40,0.70,3.40,5.60,0.30
Mount Vernon,KY,94.70,4.40,0.00,0.70,0.00
Murray,KY,86.60,0.40,3.30,6.40,3.20
Nicholasville,KY,90.10,0.40,3.00,5.80,1.30
Owensboro,KY,89.20,0.20,3.30,5.70,1.70
Paducah,KY,81.30,0.30,3.00,14.60,0.80
Paintsville,KY,95.80,0.20,0.90,1.40,1.80
Paris,KY,86.20,0.10,5.70,11.60,0.60
Pikeville,KY,93.20,0.50,1.40,4.90,0.90
Prestonsburg,KY,94.00,0.00,0.70,3.50,1.70
Princeton,KY,84.70,0.00,1.00,14.60,0.00
Richmond,KY,87.70,0.20,2.30,7.60,1.60
Russellville,KY,76.10,0.40,2.00,18.30,0.30
Scottsville,KY,97.80,0.00,0.00,2.20,0.00
Shelbyville,KY,82.50,0.10,13.90,11.10,0.60
Somerset,KY,94.70,0.10,3.20,1.50,1.20
Stanford,KY,88.50,0.10,4.70,6.70,0.10
Stanton,KY,93.40,0.30,1.80,0.70,3.00
Versailles,KY,90.60,0.00,6.60,5.50,0.30
Williamsburg,KY,94.50,0.00,2.70,3.90,0.50
Williamstown,KY,90.80,0.40,3.60,1.50,0.20
Wilmore,KY,85.00,2.70,4.50,3.80,4.80
Winchester,KY,90.50,0.10,2.60,6.90,0.60
Abbeville,LA,60.60,0.30,3.00,31.60,4.80
Alexandria,LA,50.50,0.40,3.70,44.00,2.40
Amite City,LA,39.60,1.10,0.50,55.70,0.50
Arcadia,LA,23.80,0.00,2.80,69.70,0.00
Bastrop,LA,22.20,0.20,0.20,76.40,0.40
Baton Rouge,LA,56.00,0.20,4.40,38.10,2.60
Benton,LA,75.90,0.60,2.50,21.60,1.20
Bogalusa,LA,45.00,0.20,4.10,51.90,0.30
Breaux Bridge,LA,67.50,0.90,2.90,27.90,1.00
Bunkie,LA,37.70,0.00,0.80,62.30,0.00
Buras,LA,46.00,0.40,2.60,33.20,10.80
Church Point,LA,69.40,0.00,0.60,29.30,0.00
Cottonport,LA,36.00,0.00,1.50,62.00,0.00
Crowley,LA,59.80,0.00,5.50,35.10,0.40
Delhi,LA,32.00,0.00,2.80,67.00,0.00
DeQuincy,LA,81.10,0.80,0.60,10.20,0.00
DeRidder,LA,65.10,1.40,7.20,28.40,0.90
Donaldsonville,LA,32.50,0.10,2.00,66.50,0.00
Eunice,LA,65.60,0.10,3.00,32.50,0.00
Farmerville,LA,33.20,0.40,4.10,58.90,0.00
Ferriday,LA,19.70,0.00,0.60,79.50,0.50
Fort Polk,LA,65.60,1.20,19.00,22.10,2.10
Franklin,LA,40.10,2.30,3.70,50.90,1.00
Franklinton,LA,43.70,0.00,0.60,55.20,0.00
Galliano--Larose--Cut Off,LA,81.00,4.70,11.10,2.30,1.90
Gramercy--Lutcher,LA,51.40,0.00,0.80,48.30,0.40
Hammond,LA,62.80,0.20,5.00,33.70,0.60
Homer,LA,21.20,0.00,0.40,76.50,0.00
Houma,LA,72.10,3.10,4.50,20.80,1.00
Iowa,LA,70.50,0.00,0.00,24.20,1.30
Jeanerette,LA,33.00,0.00,1.70,64.00,0.40
Jean Lafitte,LA,86.00,3.00,1.80,3.80,0.00
Jena,LA,81.90,0.00,3.00,17.30,0.20
Jennings,LA,72.90,0.30,0.20,24.80,0.10
Jonesboro,LA,41.20,0.10,1.00,57.90,0.40
Kaplan,LA,88.60,0.00,0.00,8.50,0.80
Lafayette,LA,66.70,0.20,4.20,28.10,2.30
Lake Arthur,LA,90.80,0.00,1.40,7.20,0.00
Lake Charles,LA,64.30,0.40,3.60,30.30,1.70
Lake Providence,LA,18.90,0.00,0.00,80.30,0.00
Leesville,LA,54.30,1.30,7.90,36.00,4.00
Livonia,LA,57.50,1.40,0.10,40.10,0.30
Mamou,LA,64.50,0.10,0.70,33.60,0.00
Mandeville--Covington,LA,89.00,0.20,5.50,6.80,1.80
Mansfield,LA,18.60,0.00,1.00,80.40,0.30
Many,LA,42.40,0.50,1.30,55.20,0.00
Marksville,LA,49.30,3.20,2.10,42.60,0.50
Minden,LA,45.70,0.70,1.30,51.30,0.70
Monroe,LA,51.00,0.20,2.30,46.30,1.00
Morgan City,LA,69.90,0.70,8.90,21.50,1.80
Natchitoches,LA,36.60,0.50,2.00,60.00,0.70
New Orleans,LA,51.50,0.30,9.90,40.60,3.40
New Roads,LA,49.00,0.00,0.40,50.60,0.00
Oakdale,LA,62.60,1.70,14.20,27.10,1.50
Opelousas,LA,26.40,0.20,0.70,71.80,0.50
Pierre Part,LA,96.10,2.50,0.00,0.00,0.00
Port Barre,LA,88.80,0.00,1.50,9.10,0.00
Rayne,LA,59.20,0.00,1.50,37.40,0.00
Rayville,LA,30.20,0.00,4.50,64.40,2.10
Ruston,LA,40.80,0.20,2.60,53.40,2.20
St. Martinville,LA,34.40,1.00,4.00,57.50,0.00
Shreveport,LA,49.90,0.50,4.10,44.80,1.60
Slidell,LA,74.30,0.70,6.20,19.70,1.70
South Vacherie,LA,62.50,0.00,0.50,37.20,0.00
Springhill,LA,51.10,0.50,0.20,48.40,0.00
Sunset,LA,45.00,0.40,1.80,52.70,0.00
Tallulah,LA,23.80,0.00,0.80,75.30,0.00
Ville Platte,LA,38.30,0.20,0.90,60.90,0.00
Vinton,LA,78.40,0.00,7.20,20.60,0.00
Vivian,LA,50.50,0.60,3.70,44.10,0.00
Welsh,LA,71.70,0.00,9.40,22.00,0.00
Winnfield,LA,53.40,0.00,1.50,45.10,0.00
Winnsboro,LA,22.10,0.00,0.00,74.50,0.00
Athol,MA,95.50,0.10,2.90,1.00,1.30
Barnstable Town,MA,91.80,0.40,2.80,2.60,1.40
Boston,MA,75.20,0.20,11.50,8.80,8.00
Great Barrington,MA,80.00,0.20,17.80,3.90,1.30
Greenfield,MA,90.30,0.30,7.00,2.70,1.60
Lee,MA,90.80,0.10,2.90,2.50,2.30
Leominster--Fitchburg,MA,85.50,0.10,17.30,3.80,2.80
Nantucket,MA,79.30,0.80,8.60,8.80,2.50
New Bedford,MA,75.60,0.20,13.80,4.50,2.20
North Adams,MA,87.30,0.50,4.90,2.90,2.80
North Brookfield,MA,95.70,0.30,2.00,0.10,2.10
Pittsfield,MA,90.20,0.30,4.90,3.80,1.70
Provincetown,MA,90.70,0.20,5.10,1.60,0.80
South Deerfield,MA,85.70,0.20,7.30,2.80,7.40
Springfield,MA,80.40,0.30,20.00,8.30,3.30
Vineyard Haven,MA,88.90,0.00,1.00,4.80,0.30
Ware,MA,94.60,0.10,7.90,0.40,1.60
Worcester,MA,81.00,0.30,11.90,6.40,6.20
Aberdeen--Bel Air South--Bel Air North,MD,77.10,0.20,4.70,15.10,3.00
Baltimore,MD,53.90,0.30,6.20,34.90,6.10
Brunswick,MD,90.20,0.00,7.50,4.60,0.80
Cambridge,MD,50.90,0.00,6.20,40.90,1.50
Centreville,MD,88.70,0.00,6.00,10.30,0.00
Chesapeake Beach,MD,87.00,0.00,3.20,6.80,2.00
Chestertown,MD,81.00,0.00,2.00,16.00,2.40
Country Lakes,MD,84.80,0.00,3.20,11.70,0.20
Crisfield,MD,62.60,0.00,7.50,27.70,1.00
Cumberland,MD,86.20,0.20,1.90,9.90,0.80
Denton,MD,74.10,0.00,8.80,20.90,0.50
Easton,MD,81.00,0.00,12.20,13.00,1.70
Emmitsburg,MD,89.10,0.00,6.20,4.40,3.10
Federalsburg,MD,58.40,1.80,7.40,32.40,0.10
Frederick,MD,74.40,0.30,12.00,12.80,6.50
Glenwood,MD,84.30,2.00,2.00,3.10,8.20
Golden Beach,MD,86.00,0.00,1.90,8.10,1.90
Hagerstown,MD,81.00,0.20,5.30,12.00,1.80
Leonardtown,MD,78.00,0.00,1.60,14.10,5.70
Lexington Park--California--Chesapeake Ranch Estates,MD,71.50,0.20,5.90,19.70,3.70
Long Beach,MD,78.20,0.00,6.10,17.70,0.60
Manchester,MD,94.20,0.00,2.40,2.80,1.20
Mountain Lake Park,MD,96.40,0.10,0.40,1.60,0.30
Ocean Pines,MD,90.10,0.20,4.10,5.50,2.10
Pocomoke City,MD,49.10,0.20,2.40,45.10,3.40
Poolesville,MD,89.20,0.70,12.50,6.20,2.40
Prince Frederick,MD,66.70,0.00,6.80,23.40,3.50
Princess Anne,MD,25.30,0.60,2.20,70.80,1.10
Romancoke,MD,91.10,0.00,1.20,2.10,4.90
Salisbury,MD,62.00,0.20,6.90,30.10,3.60
Shady Side--Deale,MD,88.40,0.20,3.20,7.80,1.40
Taneytown,MD,90.80,0.20,3.20,4.90,0.80
Thurmont,MD,96.80,0.00,2.30,0.60,0.50
Waldorf,MD,37.20,0.40,6.00,52.20,4.00
Westernport,MD,93.00,0.10,1.00,4.00,0.20
Westminster--Eldersburg,MD,89.60,0.10,3.50,5.20,2.40
Augusta,ME,94.30,0.90,1.20,1.10,1.30
Bangor,ME,91.50,2.00,1.50,1.30,2.20
Bar Harbor,ME,89.00,0.00,2.10,5.10,4.10
Belfast,ME,98.10,0.00,2.50,0.80,0.00
Brunswick,ME,93.00,0.20,2.40,1.50,1.80
Calais,ME,99.30,0.00,2.10,0.20,0.00
Camden,ME,95.80,0.00,0.90,1.60,0.90
Caribou,ME,87.40,0.90,3.90,7.00,0.00
Ellsworth,ME,92.60,1.20,1.90,0.90,3.00
Farmington,ME,97.00,0.10,3.40,0.60,0.90
Houlton,ME,95.00,2.70,2.30,0.00,0.10
