City,State,White,Native American,Hispanic,Black,Asian/Pacific Islander
Greensboro,NC,51.40,0.40,7.30,38.60,4.50
Greenville,NC,55.60,0.20,4.90,37.30,2.30
Grifton,NC,45.50,0.00,7.10,48.70,0.00
Hampstead,NC,97.10,0.30,1.40,0.80,0.30
Havelock,NC,69.60,0.80,12.10,18.90,1.90
Henderson,NC,32.60,2.10,8.10,61.70,0.90
Hickory,NC,79.60,0.40,9.60,7.90,3.40
High Point,NC,62.70,0.40,9.50,25.90,6.20
Holden Beach,NC,82.40,0.90,2.30,7.30,0.00
Jacksonville,NC,68.50,0.60,14.00,18.80,2.90
Jefferson,NC,88.20,0.50,6.40,3.10,0.60
Kill Devil Hills,NC,92.90,0.50,5.50,1.10,0.50
Kinston,NC,42.40,0.60,4.80,53.00,0.50
La Grange,NC,41.40,0.00,0.00,58.60,0.00
Lake Norman of Catawba,NC,95.50,0.00,2.60,3.80,0.20
Laurinburg,NC,40.60,8.40,2.90,46.50,0.90
Lillington,NC,50.70,2.90,10.00,35.50,1.00
Lincolnton,NC,77.60,0.20,12.80,12.70,0.50
Locust,NC,90.00,0.10,4.20,3.10,0.50
Louisburg,NC,37.80,0.00,5.00,57.80,0.00
Lumberton,NC,38.10,19.60,9.80,31.60,1.30
Maiden,NC,79.00,1.00,13.50,5.70,3.00
Manteo,NC,86.20,0.10,9.10,6.60,1.60
Marion,NC,83.80,0.70,12.50,6.10,0.80
Mayodan,NC,79.30,0.20,3.30,16.80,0.50
Mocksville,NC,70.50,0.10,15.10,19.30,1.40
Morehead City,NC,88.70,0.30,5.10,5.80,1.40
Mount Airy,NC,89.50,0.40,10.20,5.30,1.10
Mount Olive,NC,39.90,0.60,11.00,49.70,0.20
Murfreesboro,NC,39.00,0.00,4.00,58.90,0.20
New Bern,NC,68.20,1.10,6.00,22.00,4.90
North Wilkesboro--Wilkesboro,NC,85.70,0.30,12.80,5.40,0.80
Oak Island,NC,95.60,0.10,2.30,2.40,0.00
Oxford,NC,33.80,0.60,2.90,62.00,0.60
Pembroke,NC,21.70,53.60,3.00,19.00,0.80
Pinehurst--Southern Pines,NC,81.40,0.60,4.30,13.80,1.50
Pittsboro,NC,77.60,0.00,7.90,15.30,1.70
Plymouth,NC,31.20,0.10,0.10,68.70,0.00
Raleigh,NC,66.40,0.40,9.80,20.50,6.50
Ramseur,NC,77.90,0.30,17.10,7.80,2.50
Red Springs,NC,27.00,14.10,12.30,49.20,1.10
Reidsville,NC,57.90,0.30,2.80,37.10,1.20
Richlands South,NC,87.20,0.00,14.70,8.20,0.00
Roanoke Rapids,NC,50.80,0.70,4.00,46.00,0.80
Rockingham--Hamlet,NC,58.40,1.40,5.20,35.30,1.20
Rocky Mount,NC,33.80,0.50,3.40,60.80,1.20
Roxboro,NC,42.00,1.30,11.10,47.60,0.40
St. James,NC,99.20,0.00,3.50,0.80,0.00
St. Pauls,NC,53.20,8.40,30.20,14.90,0.80
Sanford,NC,66.20,0.30,24.60,22.90,1.10
Seven Lakes,NC,98.10,0.00,0.40,0.60,0.50
Shelby,NC,61.20,0.10,4.50,34.40,1.30
Siler City,NC,55.50,0.50,46.50,25.60,1.80
Smithfield,NC,62.50,0.20,21.80,28.20,1.70
Sneads Ferry,NC,85.80,0.00,11.10,2.00,6.40
Spout Springs,NC,62.90,0.80,16.10,19.90,3.40
Spruce Pine,NC,83.90,1.70,6.40,12.60,0.60
Swansboro,NC,86.20,0.30,9.90,2.50,4.80
Tabor City,NC,51.30,4.10,7.10,38.80,0.00
Tarboro,NC,37.30,0.40,4.20,57.90,0.00
Taylorsville,NC,65.60,0.10,13.50,18.10,0.70
Troy,NC,48.00,0.80,2.40,46.80,0.30
Wadesboro,NC,35.10,0.10,4.90,60.90,1.00
Wallace,NC,72.00,0.00,20.50,17.30,0.00
Warsaw,NC,42.20,0.00,25.30,46.90,0.00
Washington,NC,60.30,0.10,9.60,35.60,0.70
Wendell--Zebulon,NC,65.10,0.00,13.30,25.10,1.70
Whispering Pines,NC,86.70,4.90,0.20,2.60,4.20
Whiteville,NC,48.60,1.30,6.50,41.80,2.80
Williamston,NC,38.20,0.10,2.50,55.10,5.60
Wilmington,NC,80.50,0.30,5.70,14.00,1.50
Wilson,NC,42.20,0.80,9.90,48.20,1.20
Windsor,NC,35.60,1.60,3.20,58.60,2.00
Winston-Salem,NC,67.40,0.30,12.30,24.90,2.30
Yadkinville,NC,78.40,0.30,36.10,2.10,0.10
Beulah,ND,98.10,1.10,2.80,0.00,0.10
Bismarck,ND,90.20,4.70,2.30,1.80,0.80
Devils Lake,ND,80.20,13.50,2.20,0.80,0.80
Dickinson,ND,90.40,1.40,5.00,2.60,1.80
Fargo,ND,88.40,1.10,3.20,4.40,2.70
Grafton,ND,89.60,5.20,14.60,0.20,2.50
Grand Forks,ND,87.40,2.60,3.80,3.80,2.70
Grand Forks AFB,ND,77.50,0.90,9.40,9.20,2.80
Jamestown,ND,92.00,1.80,3.00,1.50,0.80
Lincoln,ND,97.30,1.60,0.00,0.00,0.00
Minot,ND,88.00,2.50,5.00,3.30,1.70
Minot AFB,ND,75.20,3.60,19.10,8.60,1.60
Rugby,ND,92.40,5.50,1.10,1.30,0.00
Valley City,ND,92.30,1.80,2.50,1.30,1.00
Wahpeton,ND,91.00,3.00,3.10,0.90,0.60
Williston,ND,85.60,2.70,5.10,3.50,0.10
Alliance,NE,90.00,4.40,14.90,0.80,0.70
Ashland,NE,95.70,0.00,2.30,0.90,0.90
Auburn,NE,97.20,0.40,0.50,0.50,1.50
Aurora,NE,98.10,0.00,1.90,0.60,0.00
Beatrice,NE,95.60,0.70,2.80,1.10,1.40
Blair,NE,94.30,0.00,4.90,2.90,0.20
Broken Bow,NE,96.10,0.10,2.20,1.80,1.90
Central City,NE,93.00,0.00,3.10,1.00,0.00
Chadron,NE,85.00,4.50,6.30,2.50,3.90
Columbus,NE,94.60,0.50,22.30,0.40,0.60
Cozad,NE,89.30,0.00,11.30,6.70,0.30
Crete,NE,83.50,0.30,38.50,0.50,6.10
David City,NE,96.80,0.20,4.90,0.50,0.30
Fairbury,NE,97.40,1.90,3.20,0.00,0.30
Falls City,NE,90.10,3.90,3.00,0.40,0.20
Fremont,NE,93.00,1.10,14.80,1.30,0.90
Gothenburg,NE,97.10,0.00,1.70,0.30,0.00
Grand Island,NE,88.30,0.60,29.90,2.60,1.70
Hastings,NE,92.20,0.40,12.00,0.80,1.30
Holdrege,NE,95.90,0.30,5.80,0.10,0.10
Kearney,NE,92.50,0.20,8.40,1.80,1.80
Lexington,NE,83.40,1.20,63.00,10.70,0.00
Lincoln,NE,85.30,0.60,7.30,4.50,4.70
McCook,NE,97.40,0.00,6.20,0.30,0.40
Minden,NE,99.00,0.00,9.90,0.10,0.00
Nebraska City,NE,91.30,1.10,16.00,0.40,1.20
Norfolk,NE,90.40,1.90,14.40,1.90,1.30
North Platte,NE,95.50,0.20,10.10,1.60,0.60
Ogallala,NE,96.20,1.30,8.80,0.00,1.40
Omaha,NE,82.40,0.50,11.50,8.90,3.20
O'Neill,NE,96.50,2.00,9.10,0.00,0.00
Plattsmouth,NE,96.80,0.00,3.50,0.60,0.00
Schuyler,NE,81.80,1.70,72.40,4.40,0.80
Scottsbluff,NE,91.90,1.40,26.50,1.00,0.60
Seward,NE,95.10,0.00,2.80,0.80,1.00
Sidney,NE,96.10,0.10,8.10,0.30,0.60
Valentine,NE,86.30,7.30,2.60,0.10,0.60
Wahoo,NE,97.90,0.10,3.50,0.40,0.00
Waverly,NE,99.60,0.10,2.30,0.00,0.00
Wayne,NE,93.90,0.00,6.60,3.70,0.80
West Point,NE,86.90,0.00,23.20,0.10,0.00
York,NE,95.80,0.10,5.40,0.50,0.00
Berlin,NH,96.60,0.40,1.10,0.50,0.80
Charlestown,NH,99.30,0.30,0.40,0.00,0.00
Claremont,NH,96.80,0.00,3.20,1.20,0.70
Concord,NH,90.50,0.20,2.30,2.40,3.80
Dover--Rochester,NH,91.30,0.00,2.40,1.20,4.00
Epping,NH,95.50,0.00,1.10,0.40,0.00
Farmington,NH,98.60,0.00,1.60,0.00,0.00
Franklin,NH,95.70,0.00,2.60,1.40,1.10
Hillsborough,NH,96.70,0.00,0.00,0.00,0.00
Jaffrey,NH,98.80,0.40,0.00,0.40,0.00
Keene,NH,92.40,0.10,2.90,1.60,1.80
Laconia,NH,97.00,0.20,2.10,0.50,0.70
Lebanon--Hanover,NH,86.00,0.80,3.40,2.10,8.20
Littleton,NH,97.10,1.20,1.40,0.80,0.50
Manchester,NH,89.10,0.10,7.40,3.70,3.80
Nashua,NH,90.30,0.10,6.20,2.00,4.20
Newport,NH,88.40,3.70,1.10,0.00,1.80
North Conway,NH,94.60,0.00,2.10,0.50,2.00
Peterborough,NH,99.30,0.00,1.80,0.00,0.50
Plymouth,NH,88.00,0.00,3.60,4.80,3.70
Portsmouth,NH,93.40,0.10,2.30,1.10,2.90
Atlantic City,NJ,66.50,0.30,18.00,15.60,8.90
Belvidere,NJ,93.60,0.80,3.20,1.80,2.30
Bridgeton,NJ,51.20,1.30,40.40,27.50,1.20
Browns Mills--Fort Dix,NJ,69.60,0.20,16.00,18.50,2.50
Franklin--Highland Lake,NJ,92.90,0.00,7.50,2.80,1.80
Hammonton,NJ,80.70,0.00,23.70,3.70,1.20
Hardyston Township West,NJ,93.90,0.00,5.00,1.80,1.80
Jefferson Township North,NJ,94.90,0.10,8.00,0.50,1.30
Laurel Lake,NJ,88.60,1.10,11.10,2.30,1.70
Milford,NJ,95.40,0.10,3.70,0.40,2.40
Mystic Island,NJ,93.90,0.00,5.10,1.20,2.00
Newton,NJ,88.10,0.00,13.00,4.30,2.40
Presidential Lakes Estates,NJ,79.30,0.00,5.60,12.40,1.30
Salem,NJ,38.30,0.20,10.00,52.20,0.60
Trenton,NJ,63.40,0.10,17.80,24.70,6.20
Twin Rivers--Hightstown,NJ,58.40,0.00,14.00,5.90,30.60
Upper Greenwood Lake,NJ,84.10,4.00,8.60,2.30,3.00
Villas,NJ,90.10,0.00,8.70,5.30,0.90
Vineland,NJ,70.80,0.40,30.80,15.40,1.70
Washington,NJ,91.30,0.00,10.00,3.70,2.50
Woodstown,NJ,86.80,0.00,7.70,8.90,0.40
Alamogordo,NM,79.50,1.80,33.50,4.10,1.90
Albuquerque,NM,74.50,4.30,49.10,2.90,2.50
Artesia,NM,91.30,1.70,51.60,1.40,1.00
Aztec,NM,82.10,7.40,22.90,0.30,0.10
Bayard,NM,92.60,2.10,77.90,3.10,0.00
Bloomfield,NM,66.40,22.40,41.30,0.00,0.10
Carlsbad,NM,92.10,0.90,46.60,1.70,0.30
Chaparral,NM,82.40,0.50,84.50,0.00,0.40
Clovis,NM,65.70,0.70,43.20,6.60,1.90
Deming,NM,91.10,1.10,72.10,2.00,0.60
Edgewood,NM,94.90,0.00,21.70,0.00,0.00
Eldorado at Santa Fe,NM,92.30,1.50,13.50,1.10,1.90
Espanola,NM,60.40,9.40,78.40,0.80,0.50
Eunice,NM,96.90,0.20,51.60,0.00,0.00
Farmington,NM,62.60,25.80,25.70,1.10,0.70
Gallup,NM,39.70,42.30,35.30,1.30,2.10
Grants,NM,62.30,19.30,57.40,1.70,0.60
Hobbs,NM,85.90,0.90,55.50,5.70,0.10
Holloman AFB,NM,75.10,0.80,14.30,12.40,2.30
Kirtland,NM,34.50,59.40,9.50,0.40,0.00
Las Cruces,NM,87.30,1.30,60.80,2.10,1.30
Las Vegas,NM,55.40,2.00,78.90,2.10,1.50
Los Alamos,NM,84.00,1.10,19.10,0.40,8.00
Los Lunas,NM,81.50,3.30,60.70,0.90,0.70
Lovington,NM,87.40,0.30,71.00,1.50,0.00
Pojoaque,NM,69.40,10.60,71.10,0.50,0.80
Portales,NM,70.50,0.80,43.00,4.70,0.70
Raton,NM,89.90,3.10,60.40,0.30,0.20
Roswell,NM,80.80,1.80,56.90,2.00,1.10
Ruidoso,NM,89.40,1.70,37.00,0.10,1.10
Santa Fe,NM,84.40,2.40,56.70,0.80,1.70
Santa Rosa,NM,75.20,2.10,76.80,2.30,0.00
Santo Domingo Pueblo,NM,0.20,93.20,6.60,0.00,0.00
Shiprock,NM,2.10,96.50,1.20,0.20,1.20
Silver City,NM,90.60,2.90,51.70,1.20,0.40
Socorro,NM,78.60,8.40,56.40,0.10,3.30
Taos,NM,78.80,9.10,55.60,1.00,0.40
Truth or Consequences,NM,89.80,3.10,25.10,0.80,0.80
Tucumcari,NM,83.00,2.10,61.70,2.70,0.90
Tularosa,NM,75.00,4.40,48.80,2.10,2.20
Vado,NM,91.00,3.30,93.40,0.60,0.00
White Rock,NM,89.60,1.90,15.80,0.20,3.30
Zuni Pueblo,NM,1.90,95.40,1.20,0.00,1.50
Battle Mountain,NV,85.80,7.70,36.30,0.00,0.90
Boulder City,NV,91.20,1.20,9.20,0.20,2.90
Carson City,NV,80.60,2.40,24.50,1.70,2.50
Dayton,NV,85.90,2.90,16.90,1.00,1.30
Elko,NV,84.30,5.30,26.60,1.70,1.60
Ely,NV,84.30,10.40,13.00,0.50,1.40
Fallon,NV,86.60,2.40,14.60,2.80,1.80
Fernley,NV,84.60,2.80,18.90,1.00,1.30
Gardnerville Ranchos,NV,86.10,2.80,12.30,0.50,2.70
Hawthorne,NV,82.00,6.00,11.20,1.10,5.60
Incline Village,NV,86.10,1.40,25.40,0.20,1.50
Johnson Lane,NV,95.20,0.70,7.60,1.50,0.00
Las Vegas--Henderson,NV,61.00,0.60,31.20,11.40,10.50
Laughlin,NV,84.70,0.50,14.40,3.90,2.20
Mesquite,NV,84.10,0.20,23.40,0.90,2.20
Moapa Valley,NV,96.40,0.00,8.40,0.00,0.90
Pahrump,NV,84.50,0.60,11.40,3.70,1.70
Reno,NV,79.10,1.30,24.70,2.40,6.20
Spring Creek North,NV,92.10,0.90,13.70,0.00,3.20
Spring Creek South,NV,98.90,0.20,3.90,0.00,0.60
Washoe Valley,NV,95.30,0.40,7.10,0.00,1.60
West Wendover,NV,84.60,0.00,71.00,0.30,1.80
Winnemucca,NV,90.00,2.00,33.60,0.50,0.40
Yerington,NV,69.20,11.60,25.10,0.70,0.10
Adams,NY,97.10,0.30,3.90,0.00,0.40
Akron,NY,93.50,0.00,1.30,0.90,1.50
Albany--Schenectady,NY,77.60,0.20,6.10,10.90,5.60
Albion,NY,73.50,0.30,9.30,19.80,0.00
Alfred,NY,82.40,0.50,7.00,9.30,4.50
Amsterdam,NY,79.00,0.00,25.00,3.20,0.60
Arcade,NY,96.20,0.00,3.50,1.60,0.90
Attica,NY,66.10,1.00,9.90,28.30,0.40
Auburn,NY,87.50,0.50,3.30,7.50,0.60
Avon,NY,96.00,0.00,1.50,0.40,0.40
Batavia,NY,87.70,0.50,5.30,6.10,1.10
Bath,NY,92.90,0.40,2.30,4.00,1.10
Bedford,NY,94.80,0.00,3.30,0.40,3.20
Binghamton,NY,83.10,0.20,4.40,7.10,5.30
Brockport,NY,91.60,0.00,3.80,3.50,1.90
Buffalo,NY,77.10,0.40,5.30,14.30,3.50
Canton,NY,87.50,0.60,3.60,6.60,2.30
Catskill,NY,80.70,2.00,5.30,15.10,0.70
Cazenovia,NY,90.50,0.40,4.40,6.80,1.00
Chester,NY,69.70,0.80,28.40,11.20,7.00
Chittenango,NY,97.90,0.00,1.30,1.10,0.20
Churchville,NY,96.70,0.20,3.50,0.10,0.60
Clifton Springs,NY,97.10,0.10,2.00,1.70,0.00
Cobleskill,NY,89.50,0.90,4.60,6.80,0.40
Cold Spring,NY,92.10,0.80,7.00,1.40,1.40
Conesus Lake,NY,93.50,0.30,1.70,1.70,2.80
Corinth,NY,96.40,0.00,2.80,0.50,0.00
Corning,NY,88.30,0.10,1.80,3.90,5.20
Cortland,NY,93.20,0.00,3.60,2.60,1.00
Coxsackie,NY,73.00,0.00,12.80,25.90,0.80
Dansville,NY,95.50,0.00,1.10,1.00,0.00
Delhi,NY,75.70,0.40,11.70,15.40,1.20
Dryden,NY,91.00,0.20,6.40,4.90,1.40
Dunkirk--Fredonia,NY,89.10,0.30,18.80,3.90,1.20
East Aurora,NY,97.50,0.20,2.10,1.00,0.20
Ellenville,NY,63.40,0.40,25.20,13.40,3.90
Elmira,NY,85.50,0.60,3.40,7.60,1.90
Fort Plain,NY,93.20,0.10,2.40,1.40,1.30
Geneseo,NY,89.30,0.10,4.20,2.50,4.30
Geneva,NY,84.70,0.70,9.70,5.70,3.10
Glens Falls,NY,95.00,0.30,2.50,1.80,1.10
Gloversville,NY,92.20,0.40,4.80,2.90,0.90
Gouverneur,NY,96.40,0.20,0.60,2.40,0.00
Gowanda,NY,70.20,1.90,8.50,16.70,1.30
Granville,NY,95.00,0.50,1.40,0.30,2.20
Greenwich,NY,97.50,0.30,3.80,0.30,0.30
Hamilton,NY,78.40,0.30,5.90,8.50,7.10
Honeoye Falls,NY,93.30,0.00,3.10,0.90,1.70
Hoosick Falls,NY,98.40,0.10,2.60,0.00,0.30
Hornell,NY,94.90,0.20,1.80,0.90,0.80
Hudson,NY,71.10,0.10,7.40,15.90,5.20
Ilion--Herkimer,NY,93.70,0.20,2.90,2.10,1.30
Ithaca,NY,70.10,0.30,6.30,5.50,18.10
Jamestown,NY,89.80,0.30,6.60,4.00,0.60
Kingston,NY,81.10,0.20,10.50,8.40,2.80
Lake Placid,NY,91.10,0.40,8.10,1.40,0.30
Le Roy,NY,91.30,0.00,3.90,2.50,0.00
Liberty,NY,78.50,0.00,28.00,7.70,1.70
Little Falls,NY,96.90,0.30,3.10,1.00,1.00
Lockport,NY,88.50,0.20,4.20,6.00,1.50
Lowville,NY,94.70,0.40,0.40,1.20,2.10
Malone,NY,68.70,0.40,9.50,22.90,0.30
Massena,NY,94.10,1.70,1.00,0.20,1.40
Maybrook,NY,70.70,0.20,20.20,19.60,1.90
Medina,NY,88.00,0.10,4.80,6.50,1.30
Middletown,NY,55.00,0.30,32.50,20.00,3.60
Montauk,NY,96.60,0.00,10.80,0.80,1.10
Monticello,NY,49.40,0.00,28.00,32.00,2.40
Mount Morris,NY,92.00,0.00,14.40,5.90,0.00
Newark,NY,84.00,0.20,7.20,7.80,1.30
Newfane,NY,98.30,0.60,0.30,0.30,0.20
New York--Newark,NY,56.70,0.30,24.70,17.80,11.40
Norwich,NY,94.10,0.00,3.60,1.20,0.70
Ogdensburg,NY,85.30,0.60,5.20,7.20,1.10
Olean,NY,91.50,0.60,1.80,4.20,1.40
Oneida,NY,95.80,1.30,2.30,1.10,0.50
Oneonta,NY,88.10,0.20,7.70,4.30,2.30
Oswego,NY,92.40,0.30,5.10,2.30,1.30
Otisville,NY,69.60,0.40,18.10,20.80,3.00
Owego,NY,92.10,0.00,4.10,2.00,2.30
Palmyra,NY,94.70,0.00,4.10,0.50,1.60
Penn Yan,NY,93.80,0.30,1.20,2.50,2.20
Perry,NY,95.50,0.00,1.90,0.80,0.40
Plattsburgh,NY,89.80,0.10,2.90,3.40,2.90
Port Jervis,NY,83.70,0.60,6.90,8.10,1.30
Potsdam,NY,85.40,0.70,6.50,6.60,2.80
Poughkeepsie--Newburgh,NY,74.60,0.30,17.20,11.60,3.40
Ravena,NY,94.00,0.10,2.60,4.40,0.20
Red Hook,NY,90.30,0.00,6.40,2.00,4.60
Rhinebeck,NY,89.20,0.00,4.40,4.10,3.70
Rochester,NY,75.20,0.40,8.50,15.80,3.80
Rome,NY,88.60,0.10,6.20,6.50,1.30
Salamanca,NY,68.30,17.20,7.40,3.90,0.60
Saranac Lake,NY,81.10,0.70,7.00,12.70,0.50
Saratoga Springs,NY,93.20,0.30,3.40,1.90,2.80
Sidney,NY,95.20,0.10,3.10,0.20,0.30
Silver Creek,NY,92.90,1.90,2.90,1.70,0.00
Skaneateles,NY,97.70,0.00,0.70,0.00,1.30
Sodus,NY,82.20,0.80,9.30,11.50,0.00
South Fallsburg,NY,62.10,1.00,27.80,13.40,0.90
Southold,NY,94.40,0.00,11.40,3.40,0.70
Springs,NY,93.50,0.20,28.30,1.90,2.70
Springville,NY,95.20,1.80,2.60,1.60,0.00
Sylvan Beach,NY,94.70,0.00,2.80,0.50,0.50
Syracuse,NY,77.90,0.50,5.00,12.60,4.20
Ticonderoga,NY,97.50,0.00,0.30,1.10,1.30
Tupper Lake,NY,93.90,0.20,3.20,1.20,0.70
Utica,NY,76.60,0.30,8.10,10.00,7.40
Valatie,NY,97.00,0.00,2.10,1.20,0.50
Walden,NY,83.30,0.00,14.50,5.80,1.50
Walton,NY,99.40,0.00,5.00,0.00,0.00
Walworth,NY,98.30,0.10,5.90,0.00,0.70
Warrensburg,NY,98.80,0.00,5.30,1.00,0.00
Warsaw,NY,90.90,0.00,2.20,2.50,0.50
Warwick,NY,87.40,1.20,9.60,4.20,1.10
Watchtower,NY,74.20,0.00,26.00,10.70,3.10
Watertown,NY,79.80,1.00,10.80,8.60,2.40
Watkins Glen,NY,94.30,0.20,4.80,3.00,0.90
Weedsport,NY,95.40,0.30,1.60,0.80,1.30
Wellsville,NY,97.30,0.00,0.50,0.70,1.20
Westfield,NY,97.30,0.00,8.60,0.00,2.30
West Point,NY,75.40,0.40,12.60,10.00,4.30
Wurtsboro,NY,92.20,0.10,7.30,2.60,0.10
Ada,OH,91.50,0.00,2.10,1.10,4.00
Akron,OH,80.60,0.20,1.70,13.20,2.50
Alliance,OH,88.50,0.10,2.30,6.90,0.40
Apple Valley,OH,96.60,0.30,1.80,1.20,0.70
Archbold,OH,88.30,0.00,17.60,0.30,0.00
Ashland,OH,95.30,0.00,0.90,1.60,1.00
Ashtabula,OH,86.50,0.50,7.70,7.50,0.60
Ashville,OH,95.40,0.40,1.20,0.20,0.00
Athens,OH,85.20,0.40,3.00,3.90,6.10
Baltimore,OH,98.00,0.20,1.00,0.00,0.00
Barnesville,OH,97.80,0.00,0.70,1.50,0.00
Bellefontaine,OH,91.10,0.00,2.30,4.40,0.60
Bellevue,OH,98.80,0.10,1.90,0.40,0.20
Bethel,OH,97.60,0.00,0.40,0.60,0.00
Blanchester,OH,97.60,0.00,0.00,0.30,0.60
Bluffton,OH,95.10,0.00,1.10,2.30,0.80
Bolivar,OH,98.00,0.00,0.30,0.80,0.00
Bowling Green,OH,88.40,0.10,6.10,6.10,1.60
Bryan,OH,97.70,0.00,4.50,0.20,0.20
Bucyrus,OH,97.10,0.10,1.10,0.30,0.90
Cadiz,OH,87.00,0.00,0.00,11.40,0.00
Caldwell,OH,82.20,0.20,2.10,14.20,0.30
Cambridge,OH,94.30,0.10,1.50,2.50,0.70
Canton,OH,86.10,0.10,2.10,8.60,1.00
Carey,OH,93.80,0.00,2.00,0.00,4.40
Carrollton,OH,99.70,0.00,2.10,0.10,0.20
Cedarville,OH,83.80,0.30,2.40,9.90,1.80
Celina,OH,93.20,0.00,2.40,1.90,0.80
Chardon,OH,94.80,0.00,1.60,2.00,1.80
Chillicothe,OH,82.70,0.00,1.70,10.80,0.70
Cincinnati,OH,78.30,0.10,3.40,15.30,2.90
Circleville,OH,94.70,0.20,1.20,2.30,0.70
Cleveland,OH,71.00,0.20,4.90,22.40,2.60
Clyde,OH,96.30,0.30,5.20,0.10,0.00
Coldwater,OH,96.90,0.00,0.50,0.30,2.90
Columbiana,OH,98.60,0.00,1.20,0.40,0.40
Columbus,OH,69.90,0.20,4.90,19.90,5.00
Conneaut,OH,90.10,0.10,2.80,7.60,0.30
Coshocton,OH,94.20,0.70,1.60,2.20,0.50
Covington,OH,95.50,0.00,2.10,0.70,0.10
Crooksville,OH,95.80,0.00,0.50,0.10,0.00
Dalton,OH,98.50,0.00,5.00,0.10,0.00
Darbydale,OH,72.10,0.00,2.30,21.00,0.10
Dayton,OH,77.10,0.20,2.90,16.40,2.40
Defiance,OH,85.70,0.60,14.70,3.60,0.50
Delphos,OH,94.00,0.60,4.40,0.80,0.10
Delta,OH,95.90,0.90,3.20,0.90,2.10
East Liverpool,OH,91.40,0.00,1.30,5.00,0.10
East Palestine,OH,95.70,0.20,2.60,1.80,0.60
Eaton,OH,96.30,0.10,0.60,0.70,0.70
Findlay,OH,90.10,0.10,6.60,2.00,2.60
Fostoria,OH,86.90,0.10,10.60,6.00,0.10
Fremont,OH,83.80,0.10,15.50,6.40,0.30
Galion,OH,96.50,0.10,2.00,1.00,0.40
Garrettsville,OH,92.30,0.60,1.50,3.30,1.20
Geneva,OH,97.40,0.00,9.00,0.20,0.00
Genoa,OH,91.20,0.10,4.50,0.50,1.40
Georgetown,OH,95.60,0.00,0.00,2.90,1.10
Glouster,OH,95.50,0.70,0.50,0.70,0.00
Greenfield,OH,97.20,0.00,0.00,2.40,0.10
Greenville,OH,95.90,0.50,2.00,1.30,1.10
Harrison,OH,98.60,0.30,0.80,0.20,0.00
Hicksville,OH,90.80,1.00,9.30,0.00,0.50
Hillsboro,OH,89.90,0.30,1.50,4.60,1.30
Jackson--Wellston,OH,96.10,0.00,2.20,1.80,0.30
Jamestown,OH,98.70,0.00,0.10,0.50,0.10
Jefferson,OH,96.50,0.00,1.70,0.80,0.60
Johnstown,OH,97.60,0.00,6.10,0.00,0.00
Kenton,OH,95.60,0.00,2.00,0.70,0.00
LaGrange,OH,98.40,0.10,1.60,0.10,0.00
Lake Lakengren,OH,93.50,0.00,0.70,0.00,0.30
Lancaster,OH,95.00,0.20,1.90,1.80,0.50
Lima,OH,77.20,0.30,3.20,16.40,0.90
Lisbon,OH,77.40,1.00,5.00,16.30,0.40
Lodi,OH,97.00,0.00,1.10,2.40,0.00
Logan,OH,96.60,0.00,1.00,1.70,0.30
London,OH,77.80,0.30,2.40,16.70,1.70
Lorain--Elyria,OH,80.60,0.40,14.10,11.80,0.80
Lucasville,OH,71.10,0.20,3.40,25.20,0.00
McConnelsville,OH,89.50,0.40,0.00,8.80,0.10
Malvern,OH,97.90,0.00,1.30,0.70,0.00
Mansfield,OH,80.30,0.20,2.20,12.60,1.10
Marietta,OH,94.70,1.00,1.30,1.50,0.80
Marion,OH,87.90,0.20,2.50,7.20,0.50
Marysville,OH,89.70,0.10,2.10,4.50,2.90
Middlefield,OH,97.00,0.00,1.40,0.50,0.50
Middleport,OH,94.70,0.40,0.00,1.70,0.10
Middletown,OH,88.70,0.10,3.90,6.30,0.80
Millersburg,OH,97.60,0.00,2.20,0.40,0.00
Minerva,OH,99.20,0.00,0.50,0.00,0.00
Montpelier,OH,94.70,0.80,2.60,0.10,3.00
Mount Gilead,OH,96.90,0.00,1.00,0.80,0.00
Mount Orab,OH,94.80,0.30,0.80,1.10,0.80
Mount Vernon,OH,95.30,0.10,1.50,1.40,0.40
Napoleon,OH,93.00,0.30,10.30,0.90,0.60
Nelsonville,OH,91.40,0.30,1.70,4.70,0.50
Newark,OH,92.80,0.10,1.60,2.30,1.20
New Bremen--Minster,OH,97.70,0.00,0.90,0.20,1.50
Newcomerstown,OH,98.60,0.00,2.20,0.80,0.00
New Concord,OH,90.50,0.00,3.00,2.20,2.60
New Lebanon,OH,91.20,0.00,1.40,2.00,3.10
New Lexington,OH,98.30,0.00,0.00,0.30,0.20
New Philadelphia--Dover,OH,95.30,0.30,4.20,1.60,0.60
New Richmond,OH,97.50,0.00,1.20,1.20,0.30
North Baltimore,OH,96.90,0.20,7.90,0.00,0.10
Norwalk,OH,92.30,0.00,9.40,2.80,0.10
Oak Harbor,OH,93.80,0.00,7.50,0.00,0.30
Oberlin,OH,68.60,0.50,5.50,15.10,6.10
Orrville,OH,88.80,1.00,5.40,2.10,1.80
Ottawa,OH,89.80,0.00,8.50,1.10,0.40
Oxford,OH,87.30,0.20,2.70,3.70,6.80
Paulding,OH,88.10,0.40,10.80,1.20,1.40
Piqua,OH,91.30,0.10,1.40,3.30,1.10
Plain City,OH,96.00,0.20,0.20,0.20,1.60
